"Name","algo","learning_rate","n_steps","gamma","gae_lambda","ent_coef","vf_coef","max_grad_norm","rms_prop_eps","sde_sample_freq","batch_size","n_epochs","clip_range","clip_range_vf","target_kl","buffer_size","learning_starts","tau","train_freq","gradient_steps","target_update_interval","target_entropy","policy_delay","target_policy_noise","target_noise_clip","exploration_fraction","exploration_final_eps","exploration_initial_eps","test/total_reward"
"bright-sweep-1","DDPG","0.006847193416203825","256","0.9294011820760432","0.996237511879288","0.002027581027188146","0.008202380645773999","0.7147513936480773","0.00024387418006434656","30","128","5","0.1893783549645875","0.05","0.02393592474125972","2000","387","0.008148563021772127","2","1","3","0.19012972068041725","2","0.11458856698264376","0.18538047642581068","0.12081810298715244","0.18574202112955543","0.16608739788821647","1.9721444301019204"
"swift-sweep-10","A2C","0.006710415366606305","128","0.941081640861116","0.9020282725259324","0.001295613078574277","0.0068308319634079375","0.565581782952298","0.004348821201705575","26","64","8","0.19559343422274073","","0.04957073359084658","5000","163","0.0046097673281908745","2","3","2","0.1582576301282469","4","0.15051784695716794","0.10526588498256256","0.10870976291421756","0.10365656319609974","0.10002995992304103","1.970610836068321"
"radiant-sweep-1","TD3","0.009672353253912216","1024","0.9968170167185488","0.9896869274861972","0.00039311982436991704","0.0017598945418192873","0.554447109430024","0.00018375951842423025","22","64","9","0.13155410701074804","0.15","0.01754295645173073","4000","289","0.009581093948502772","4","2","1","0.12768278188037346","1","0.1620439244614339","0.14507976865684483","0.12547573725595235","0.19088264858144188","0.10460955096253456","1.964804690233392"
"ruby-sweep-8","PPO","0.002701238139362414","32","0.9926038397873772","0.8946323246214246","0.009821844741295742","0.00035959988284277057","0.8266655634006036","0.004924771740073713","28","128","6","0.12574930167835935","0.1","0.049388200130908895","3000","655","0.00808562851757983","3","1","2","0.18655925807005833","4","0.14443047797766867","0.13703105842342808","0.14955699903539804","0.1350597491343975","0.19020140792865237","1.9550473687761112"
"bright-sweep-2","SAC","0.007236163417373919","64","0.9524328180833028","0.816837609422339","0.0006627937945550845","0.005369727839594757","0.8136126151610161","0.002692744303024987","17","32","4","0.14604226054135147","","0.04884497722751045","1000","192","0.001460357857042276","2","1","2","0.1958364303463022","2","0.10670730894976238","0.10731946634585798","0.16177545333021384","0.16849705660397896","0.15083092176389715","1.9446029246646233"
"clean-sweep-4","A2C","0.006981689114523621","128","0.9385786433499094","0.9383048787269732","0.00525347281227052","0.0012497902139939256","0.9428068650418252","0.007497939458343346","23","8192","7","0.2274018942250761","0.15","0.031764375633082154","2000","569","0.0026854777241752106","3","1","4","0.1823340285250599","2","0.10673926394425844","0.18672172234589765","0.16124784051977656","0.10617533105178777","0.16434123620262886","1.6209271377109131"
"chocolate-sweep-9","PPO","0.004711794589770968","32","0.9289033382653286","0.8511497739244259","0.0017288650755200006","0.00526897074054873","0.7720072112282872","0.00669732463055348","15","64","8","0.22577930507472635","0.05","0.033365353489099886","2000","165","0.0046872971906533915","2","3","2","0.1397936903092029","3","0.1264857546714319","0.14196967518110565","0.1626886861485916","0.19131499229055657","0.10389672677371196","1.633475515199977"
"fragrant-sweep-7","TD3","0.00685619288220142","128","0.9076398869385844","0.883235964257623","0.0052044261675370735","0.0048831643077631905","0.979162645354359","0.006170968366229322","9","512","1","0.22536690108353735","0.05","0.01003335219098656","3000","126","0.004226082767086345","4","4","1","0.14528500833690394","2","0.12552884297194092","0.14111089769014656","0.14809352654428334","0.17898607516115528","0.11249013379552704","1.642419764251234"
"leafy-sweep-9","DDPG","0.0001403541801974912","512","0.9327951067114952","0.9882063072597288","0.009106938729884108","0.005535547271773891","0.9057760998471556","0.0012467694116534494","11","32","9","0.21612606949282792","","0.04232678735373344","3000","266","0.007172606172094994","4","3","2","0.1445387441130279","1","0.10964586589201412","0.1970675300000244","0.11325114618124588","0.1692703221275892","0.1979838707710673","1.6427177215050963"
"dainty-sweep-9","SAC","0.003324961285946883","2048","0.9987753826754828","0.9628801676762732","0.006820262736701644","0.00965009660138906","0.823054100604871","0.004667889581950132","27","128","3","0.18309319827731524","0.15","0.016953982800967972","5000","652","0.007342568966077945","4","4","3","0.1825574386408177","3","0.1338694871567201","0.14028274499754578","0.10929516844949728","0.17950558956520415","0.15073368967220513","1.6683229454198911"
